2001,Carlos_1,4.2
2002,Juanse_2,0.5
2003,Maria_3,1.5
2004,Diana_4,0.8
2005,Laura_5,3.7
2006,Pedro_6,0.5
2007,Sofia_7,1.7
2008,Diego_8,0.8
2009,Ana_9,4.8
2010,Andres_10,3.2
2011,Carlos_11,1.2
2012,Juanse_12,4.8
2013,Maria_13,3.6
2014,Diana_14,4.3
2015,Laura_15,3.0
2016,Pedro_16,4.5
2017,Sofia_17,2.5
2018,Diego_18,4.7
2019,Ana_19,0.3
2020,Andres_20,2.6
2021,Carlos_21,3.8
2022,Juanse_22,0.7
2023,Maria_23,4.4
2024,Diana_24,4.6
2025,Laura_25,1.9
2026,Pedro_26,2.3
2027,Sofia_27,3.8
2028,Diego_28,4.1
2029,Ana_29,4.7
2030,Andres_30,1.7
2031,Carlos_31,2.1
2032,Juanse_32,1.5
2033,Maria_33,1.6
2034,Diana_34,0.3
2035,Laura_35,2.8
2036,Pedro_36,1.3
2037,Sofia_37,0.2
2038,Diego_38,1.4
2039,Ana_39,3.0
2040,Andres_40,2.6
2041,Carlos_41,3.7
2042,Juanse_42,3.4
2043,Maria_43,0.4
2044,Diana_44,4.0
2045,Laura_45,0.6
2046,Pedro_46,2.7
2047,Sofia_47,2.9
2048,Diego_48,4.5
2049,Ana_49,4.6
2050,Andres_50,0.1
2051,Carlos_51,4.5
2052,Juanse_52,0.5
2053,Maria_53,3.1
2054,Diana_54,0.7
2055,Laura_55,1.0
2056,Pedro_56,4.9
2057,Sofia_57,1.8
2058,Diego_58,0.4
2059,Ana_59,0.2
2060,Andres_60,4.0
2061,Carlos_61,1.8
2062,Juanse_62,1.3
2063,Maria_63,2.1
2064,Diana_64,4.7
2065,Laura_65,3.0
2066,Pedro_66,4.6
2067,Sofia_67,4.1
2068,Diego_68,2.1
2069,Ana_69,1.2
2070,Andres_70,4.5
2071,Carlos_71,0.8
2072,Juanse_72,1.8
2073,Maria_73,2.4
2074,Diana_74,5.0
2075,Laura_75,1.2
2076,Pedro_76,0.4
2077,Sofia_77,3.7
2078,Diego_78,2.3
2079,Ana_79,3.2
2080,Andres_80,1.4
2081,Carlos_81,4.4
2082,Juanse_82,0.4
